Source,Compare,Value
2956,1020,0.8262721
2963,14328,0.84755945
2974,8160,0.8035514
2974,13451,0.8035514
2975,2299,0.89680415
2985,2299,0.8995508
3016,354,0.8142455
3016,3935,0.80985993
3017,10149,0.82687503
3017,12350,0.8083427
3017,17048,0.8004131999999999
3017,18073,0.8057376
3017,18854,0.86318463
3018,308,0.88861924
3018,8003,0.8029785
3018,11140,0.8550882
3018,11999,0.9471369000000001
3018,17179,0.8343318999999999
3018,18006,0.8416861999999999
3018,20143,0.9999998999999999
3018,21134,0.84517306
3020,15048,0.8156793000000001
3024,14698,0.80705315
3024,18551,0.82187396
3026,1844,0.8066707
3026,6293,0.8193210999999999
3026,17669,0.8054607
3027,7460,0.8428022
3027,14083,0.8222086999999999
3035,117,0.8197485000000001
3035,158,0.8011455
3035,207,0.86043054
3035,210,0.8737548
3035,850,0.8045055999999999
3035,1463,0.83115804
3035,1521,0.8076219
3035,1645,0.8167511
3035,1673,0.82340676
3035,1766,0.8350731
3035,1874,0.811609
3035,1881,0.8218645
3035,1931,0.83987296
3035,2065,0.82368714
3035,2284,0.8157569
3035,2352,0.8154901999999999
3035,3008,0.8424444
3035,3023,0.80978805
3035,3026,0.8284674999999999
3035,3832,0.8007491
3035,6002,0.8586109000000001
3035,6067,0.83605295
3035,6393,0.84367466
3035,6517,0.8731982
3035,6592,0.8360463
3035,7338,0.80335414
3035,7485,0.8131928
3035,8040,0.82674474
3035,8081,0.80233395
3035,8399,0.86062187
3035,8403,0.8402116
3035,8633,0.8127346999999999
3035,8948,0.8516734
3035,10011,0.8031974000000001
3035,10168,0.8658046999999999
3035,10370,0.80942273
3035,10833,0.83648247
3035,10849,0.84688365
3035,11060,0.8628524
3035,11592,0.84072584
3035,12123,0.8341248
3035,12212,0.82481074
3035,13887,0.80237395
3035,13932,0.8027543
3035,13939,0.85953534
3035,14069,0.81359744
3035,15087,0.80455977
3035,15410,0.8206225
3035,15484,0.8120753
3035,15715,0.80621606
3035,15718,0.83436227
3035,15806,0.80058897
3035,15907,0.8062524
3035,16280,0.8444176999999999
3035,16519,0.8053726999999999
3035,16523,0.8302537
3035,17141,0.82426625
3035,17198,0.80231893
3035,17734,0.8469239
3035,17815,0.80909234
3035,17852,0.8171759
3035,18416,0.84073454
3035,18485,0.87402433
3035,18488,0.81935316
3035,18643,0.8082562
3035,18815,0.8369859000000001
